lat,lon,sst_anomaly_c,mean_el_nino_nino34_anomaly_c,el_nino_winter_count
-23.5,162.5,-0.26572075,1.616694413666018,25
-23.5,163.5,-0.28676328,1.616694413666018,25
-23.5,164.5,-0.30371442,1.616694413666018,25
-23.5,165.5,-0.31670165,1.616694413666018,25
-23.5,166.5,-0.32898316,1.616694413666018,25
-23.5,167.5,-0.3424932,1.616694413666018,25
-23.5,168.5,-0.34900582,1.616694413666018,25
-23.5,169.5,-0.3537707,1.616694413666018,25
-23.5,170.5,-0.35953766,1.616694413666018,25
-23.5,171.5,-0.3665554,1.616694413666018,25
-23.5,172.5,-0.37466753,1.616694413666018,25
-23.5,173.5,-0.3834057,1.616694413666018,25
-23.5,174.5,-0.3916242,1.616694413666018,25
-23.5,175.5,-0.3982859,1.616694413666018,25
-23.5,176.5,-0.4046892,1.616694413666018,25
-23.5,177.5,-0.4093791,1.616694413666018,25
-23.5,178.5,-0.41344604,1.616694413666018,25
-23.5,179.5,-0.4191343,1.616694413666018,25
-23.5,180.5,-0.42472175,1.616694413666018,25
-23.5,181.5,-0.42791083,1.616694413666018,25
-23.5,182.5,-0.42819047,1.616694413666018,25
-23.5,183.5,-0.428028,1.616694413666018,25
-23.5,184.5,-0.4329139,1.616694413666018,25
-23.5,185.5,-0.44419926,1.616694413666018,25
-23.5,186.5,-0.4520739,1.616694413666018,25
-23.5,187.5,-0.45270017,1.616694413666018,25
-23.5,188.5,-0.44710237,1.616694413666018,25
-23.5,189.5,-0.4380191,1.616694413666018,25
-23.5,190.5,-0.42778483,1.616694413666018,25
-23.5,191.5,-0.41806892,1.616694413666018,25
-23.5,192.5,-0.40945312,1.616694413666018,25
-23.5,193.5,-0.39884326,1.616694413666018,25
-23.5,194.5,-0.38691735,1.616694413666018,25
-23.5,195.5,-0.3767132,1.616694413666018,25
-23.5,196.5,-0.36783913,1.616694413666018,25
-23.5,197.5,-0.36128938,1.616694413666018,25
-23.5,198.5,-0.35696122,1.616694413666018,25
-23.5,199.5,-0.35314137,1.616694413666018,25
-23.5,200.5,-0.34814176,1.616694413666018,25
-23.5,201.5,-0.34260488,1.616694413666018,25
-23.5,202.5,-0.34084004,1.616694413666018,25
-23.5,203.5,-0.33757454,1.616694413666018,25
-23.5,204.5,-0.33283168,1.616694413666018,25
-23.5,205.5,-0.32869583,1.616694413666018,25
-23.5,206.5,-0.32207367,1.616694413666018,25
-23.5,207.5,-0.3122636,1.616694413666018,25
-23.5,208.5,-0.30054855,1.616694413666018,25
-23.5,209.5,-0.28890586,1.616694413666018,25
-23.5,210.5,-0.27880946,1.616694413666018,25
-23.5,211.5,-0.27098686,1.616694413666018,25
-23.5,212.5,-0.26434126,1.616694413666018,25
-23.5,213.5,-0.25802308,1.616694413666018,25
-23.5,214.5,-0.25156343,1.616694413666018,25
-23.5,215.5,-0.24509698,1.616694413666018,25
-23.5,216.5,-0.23942299,1.616694413666018,25
-23.5,217.5,-0.23470962,1.616694413666018,25
-23.5,218.5,-0.23004422,1.616694413666018,25
-23.5,219.5,-0.22392216,1.616694413666018,25
-23.5,220.5,-0.2157156,1.616694413666018,25
-23.5,221.5,-0.20369728,1.616694413666018,25
-23.5,222.5,-0.19017401,1.616694413666018,25
-23.5,223.5,-0.17727101,1.616694413666018,25
-23.5,224.5,-0.16664204,1.616694413666018,25
-23.5,225.5,-0.15676866,1.616694413666018,25
-23.5,226.5,-0.14591846,1.616694413666018,25
-23.5,227.5,-0.13256732,1.616694413666018,25
-23.5,228.5,-0.11576557,1.616694413666018,25
-23.5,229.5,-0.09801158,1.616694413666018,25
-23.5,230.5,-0.07933094,1.616694413666018,25
-23.5,231.5,-0.065331504,1.616694413666018,25
-23.5,232.5,-0.053960983,1.616694413666018,25
-23.5,233.5,-0.044569787,1.616694413666018,25
-23.5,234.5,-0.035567712,1.616694413666018,25
-23.5,235.5,-0.025212526,1.616694413666018,25
-23.5,236.5,-0.01262557,1.616694413666018,25
-23.5,237.5,0.0015690422,1.616694413666018,25
-23.5,238.5,0.015654078,1.616694413666018,25
-23.5,239.5,0.026241388,1.616694413666018,25
-23.5,240.5,0.030225478,1.616694413666018,25
-23.5,241.5,0.03336026,1.616694413666018,25
-23.5,242.5,0.03818717,1.616694413666018,25
-23.5,243.5,0.04435425,1.616694413666018,25
-23.5,244.5,0.05085681,1.616694413666018,25
-23.5,245.5,0.056837723,1.616694413666018,25
-23.5,246.5,0.06211839,1.616694413666018,25
-23.5,247.5,0.06861318,1.616694413666018,25
-23.5,248.5,0.077383235,1.616694413666018,25
-23.5,249.5,0.08548111,1.616694413666018,25
-23.5,250.5,0.09176872,1.616694413666018,25
-23.5,251.5,0.09703251,1.616694413666018,25
-23.5,252.5,0.10229519,1.616694413666018,25
